id,lat,lng,label,population,risk
381,34.7414,112.3894,"Luoyang",11740472,0.0013297616149570868
382,35.0494,118.4119,"Linyi",12843250,0.002476476908201825
383,43.9553,81.3289,"Yining",1687819,0.0002462463266555239
386,37.0381,79.865,"Hotan",1394729,0.0001865193034556963
387,38.27,109.7306,"Yulin",3211960,0.0005696320434440144
388,25.6503,100.3194,"Dali",3767440,0.0009261689688928054
389,24.7956,118.5881,"Quanzhou",9437088,0.005877685840327979
391,36.2661,120.3744,"Qingdao",8200069,0.019197038267396938
392,38.5419,102.3486,"Jinchang",2050162,0.0002288203273163942
393,29.5147,108.8317,"Qianjiang",3949506,0.00019376849340831066
394,38.9656,121.5386,"Dalian",5749540,0.014083877619603617
395,32.5631,119.7189,"Yangzhou",8985870,0.0002932588699160796
397,24.2078,109.3914,"Liuzhou",8005244,0.0016637226890814907
398,28.8528,105.3933,"Luzhou",9659760,0.001124543932567929
399,21.9731,100.7631,"Jinghong",1382281,0.0016801670296838012
400,27.9892,102.1844,"Xichang",4562370,0.00015345075206524603
402,30.5569,111.4797,"Yichang",11664371,0.0016951198372289519
403,29.345,120.0325,"Yiwu",6139309,0.0010814443166648584
404,29.1044,110.4431,"Zhangjiajie",2982561,0.001738484113877229
405,31.4289,104.7408,"Mianyang",8917604,0.002520050984903852
406,41.1056,122.8561,"Anshan",8750351,0.0009934197273576925
407,29.8267,121.4619,"Ningbo",6757958,0.022807600659849762
408,36.5258,114.425,"Handan",26271177,0.0011898928392951123
410,38.8075,100.6608,"Zhangye",1204657,0.00034517126994662773
411,39.9678,119.7292,"Qinhuangdao",4523764,0.00030205323739253775
413,41.6397,123.4833,"Shenyang",13195977,0.013928966802245039
414,24.4014,98.5322,"Mangshi",1327739,0.0006178426765528151
415,43.0303,89.0972,"Turpan",816835,0.00016684748034694218
416,23.7389,100.025,"Lincang",2848292,0.00012646531824196043
417,26.54,101.7981,"Panzhihua",4045241,0.00024513449851947623
418,30.7939,106.1597,"Nanchong",12341109,0.0006201975602281654
420,40.08,116.5844,"Beijing",28331507,0.06498654794739192
421,24.9378,98.4856,"Tengchong",1002556,0.0004946162913251143
422,30.7403,117.6867,"Chizhou",4495819,0.00017617952021817905
425,39.8572,98.3414,"Jiayuguan",1106084,0.00020420173922931106
427,26.8578,114.7364,"Ji'an",5652245,0.0008035774130269156
428,40.0256,124.2869,"Dandong",3017061,0.0006337374576090237
429,40.8514,111.8242,"Hohhot",4401373,0.004469492619518283
430,24.5442,118.1278,"Xiamen",8240158,0.015798679336320703
431,45.4661,84.9539,"Karamay",5802370,0.0002334023080908172
432,32.9811,112.6156,"Nanyang",12735325,0.0007708993304174173
433,50.1717,127.3094,"Heihe",1020239,0.00019937631648130234
434,28.5653,121.4303,"Taizhou",5349916,0.0005627722124387035
435,29.3392,117.1764,"Jingdezhen",4398562,0.00036144417851209876
436,44.5242,129.5689,"Mudanjiang",3143833,0.0005134132384735712
437,25.0856,104.9594,"Xingyi",7357766,0.0005020414834467607
438,31.9911,116.9892,"Hefei",14358834,0.0021621646958269094
439,36.5286,102.0403,"Xining",3472426,0.0020420831376255903
440,38.2806,114.6972,"Shijiazhuang",24520869,0.006253270134020186
441,42.8828,129.4514,"Yanji",1789684,0.0009543161588674281
442,33.4261,120.2031,"Yancheng",6283873,0.0005053934922279853
443,29.7328,118.2572,"Huangshan",1892668,0.0001709615608131805
445,31.7419,118.8619,"Nanjing",13651608,0.005543883356230591
447,24.2642,116.0983,"Meixian",6486268,0.0008232759173022378
448,32.0722,120.9803,"Nantong",8713963,0.0297945191003489
449,33.7875,119.1278,"Huai'an",10190694,0.0006778437537075211
450,25.8514,114.7753,"Ganzhou",7056603,0.0012973254446561984
451,21.5394,109.2939,"Beihai",5621760,0.0015076162676409628
452,27.3006,105.3017,"Bijie",6594987,0.000518452951334197
453,37.7469,112.6283,"Taiyuan",11233266,0.009816142638109798
454,32.8808,115.7336,"Fuyang",25324297,0.0006883318610565005
456,28.1936,113.2178,"Changsha",18325936,0.009411754827916332
457,30.2294,120.4344,"Hangzhou",12817942,0.030945770570960655
458,24.9922,102.7436,"Kunming",11115277,0.02018905884921123
460,26.5386,106.8008,"Guiyang",7252992,0.010594058634329525
461,25.2181,110.0392,"Guilin",4941136,0.005268258109134843
463,27.4414,109.7003,"Huaihua",5255897,0.000342348564422167
465,27.9131,120.8522,"Wenzhou",9918949,0.003855576463080908
467,25.6756,116.7456,"Longyan",5754349,0.0007255357028828182
468,43.9156,115.9633,"Xilinhot",881461,0.00011815795431838355
469,21.2153,110.3583,"Zhanjiang",11700739,0.0023287986659193275
470,22.6083,108.1725,"Nanning",8261012,0.006639938907632724
471,30.5825,117.0503,"Anqing",4642340,0.0003092023262450121
472,28.8639,115.9022,"Nanchang",10823928,0.0032629659714898803
473,22.3089,113.9147,"Hong Kong",36745880,0.11775281226048853
474,39.5425,76.02,"Kashi",3476362,0.0005218261063909053
475,19.9347,110.4589,"Haikou",5945540,0.010277653440929967
476,36.8572,117.2161,"Jinan",24300017,0.004171189949668418
477,30.7839,114.2081,"Wuhan",30649978,0.012354399299699724
479,26.3417,111.6089,"Yongzhou",18814432,0.000869071658051058
480,35.1164,111.0336,"Yuncheng",12627248,0.0012792026231575003
481,34.5194,113.8411,"Zhengzhou",32471775,0.009750703137226598
482,28.9186,111.6408,"Changde",10758043,0.001030681611511031
483,43.9961,125.6853,"Changchun",16217434,0.011274528423665865
484,42.16,118.8408,"Chifeng",9056162,0.0006242732295985944
485,36.2475,113.1258,"Changzhi",8931656,0.0009467999495596849
486,39.7189,113.1461,"Datong",7535077,0.0006001332829251685
487,31.1319,107.4306,"Dazhou",9124364,0.0004041370991259052
488,47.2397,123.9181,"Qiqihar",4106294,0.00027376980350876575
495,9.5769,-13.6119,"Conakry",7341347,0.00011925817178352189
512,60.3172,24.9633,"Helsinki",1565388,0.0003637911290816579
523,8.0958,98.9889,"Krabi",613788,0.00018641092178873172
531,18.7714,98.9628,"Chiang Mai",1497016,0.003525108524766897
538,13.6858,100.7489,"Bangkok",23541053,0.01454790358130334
549,8.1122,98.3053,"Phuket",711102,0.0047009471586497275
566,27.6967,85.3592,"Kathmandu",4670436,0.00036026983482200577
575,17.9883,102.5633,"Vientiane",1706759,0.000430422564600189
596,14.5086,121.0194,"Manila",26922690,0.0039335636807254805
602,11.6844,122.3811,"Kalibo",1326601,0.001118701976562345
615,10.3075,123.9794,"Cebu",4439843,0.0005930812932845482
626,-26.1392,28.2461,"Johannesburg",13748925,0.0003507335318541173
635,-33.9647,18.6017,"Cape Town",3657016,0.00010769231049415147
720,50.9014,4.4844,"Brussels",6677903,0.0006686145242123865
730,52.4606,9.6894,"Hannover",2991682,0.00023017653937388918
732,48.69,9.2219,"Stuttgart",4929697,0.00031970619346874927
733,50.0331,8.5706,"Frankfurt",6970523,0.0031551214453189322
